date/time,settlement id ,type ,order id,Sku,description ,quantity,marketplace ,fulfillment,order city ,order state ,order postal ,product sales ,shipping credits ,promotional rebates ,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,selling fees ,fba fees ,other transaction fees ,other ,total 
15-May-2018 4:00:31 AM GMT+00:00,10140700102,"Adjustment
",171-4728678-1589930,AMANEEM-1,FBA Inventory Reimbursement - Customer Return,1,,,,,,0,0,0,0,0,0,0,0,0,0,256.29,256.29
15-May-2018 5:12:42 AM GMT+00:00,10140700102,"Shipping Services
",406-7043262-4076331,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-53.1,0,-53.1
15-May-2018 5:13:40 AM GMT+00:00,10140700102,"Order
",406-7043262-4076331,DISPMAN1,JEOGA Pack of 10 PCS Good Quality Men Underwear Brief USE and Through Disposable,1,amazon.in,Merchant,NOIDA,UTTAR PRADESH,201304,356.25,58.04,0,49.71,0,0,0,-71.18,0,-5.9,0,386.92
15-May-2018 12:19:24 PM GMT+00:00,10140700102,"Refund
",402-2304944-9582729,AMANEEM-1,LOOFAH (PACK OF 10 PCS)100%NATURAL RIDGE GOURD ORGANIC FIBER,1,amazon.in,"Amazon
",JIND,HARYANA,126102,-337.5,-44.64,0,-45.86,0,0,0,13.38,44.64,17.7,0,-352.28
16-May-2018 6:08:57 AM GMT+00:00,10140700102,"Order
",407-6888589-2461907,AMANEEM-1,LOOFAH (PACK OF 10 PCS)100%NATURAL RIDGE GOURD ORGANIC FIBER,1,amazon.in,"Amazon
",RANCHI,JHARKHAND,834002,338.39,44.64,0,45.97,0,0,0,-13.42,-121.34,-17.7,0,276.54
16-May-2018 6:47:17 AM GMT+00:00,10140700102,"Shipping Services
",171-3622726-0249949,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
16-May-2018 6:48:22 AM GMT+00:00,10140700102,"Order
",171-3622726-0249949,LOFA4,LOOFAH NATURAL FIBER (PACK OF 10 PCS) 100% NATURAL RIDGE GOURD ORGANIC FIBER,1,amazon.in,Merchant,AHMEDABAD,GUJARAT,380008,266.07,58.04,0,38.89,0,0,0,-12.85,0,-5.9,0,344.25
16-May-2018 1:15:32 PM GMT+00:00,10140700102,"FBA Inventory Fee
",,,FBA Inventory Storage Fee,,Amazon.in,,,,,0,0,0,0,0,0,0,0,0,0,-288.74,-288.74
17-May-2018 5:55:30 AM GMT+00:00,10140700102,"Order
",405-0082979-6130755,AMANEEM-1,LOOFAH (PACK OF 10 PCS)100%NATURAL RIDGE GOURD ORGANIC FIBER,1,amazon.in,"Amazon
",Panaji,GOA,403114,337.5,14.88,-14.88,40.5,0,0,0,-13.38,-76.7,-17.7,0,270.22
17-May-2018 5:59:21 AM GMT+00:00,10140700102,"Order
",404-1645072-3214730,DISPO51,"PACK OF 10 PCS GOOD QUALITY USE AND THROW DISPOSABLE PANTY PACK OF 10 PCS IN WHITE COLOR FREE SIZE IDEAL FOR TRAVELLING,CAMPING,FITNESS,OLD AGE,HOSPIT",1,amazon.in,"Amazon
",MOHALI,PUNJAB,160071,418.75,0,0,50.25,0,0,0,-71.94,-49.56,-17.7,0,329.8
